BRAND,SUBCATEGORY,CATEGORY,SECTION,AVG_QTY_STRUK_MONTH_BEFORE,AVG_QTY_STRUK_MONTH_AFTER,AVG_QTY_STRUK_MONTH_GROWTH,AVG_STRUK_MONTH_BEFORE,AVG_STRUK_MONTH_AFTER,AVG_STRUK_MONTH_GROWTH,SPT_BEFORE,SPT_AFTER,SPT_GROWTH,BUYER_COUNT_BEFORE,BUYER_COUNT_AFTER,BUYER_COUNT_GROWTH
KHONG GUAN,2226C - SANDWICH BISCUIT 100-150G,2226 - SANDWICH BISCUIT,BISC & CONFECTIONARY,1.06,1.07,0.0094,100.5,104.33,0.0381,10858.0,11427.0,0.0524,189.0,267.0,0.4127
LOTUS,2226C - SANDWICH BISCUIT 100-150G,2226 - SANDWICH BISCUIT,BISC & CONFECTIONARY,,1.14,,,2.33,,,45600.0,,,6.0,
MILO,2226C - SANDWICH BISCUIT 100-150G,2226 - SANDWICH BISCUIT,BISC & CONFECTIONARY,1.17,1.13,-0.0342,237.5,266.0,0.12,13530.0,13041.0,-0.0361,450.0,712.0,0.5822
NEXTAR,2226C - SANDWICH BISCUIT 100-150G,2226 - SANDWICH BISCUIT,BISC & CONFECTIONARY,1.04,1.0,-0.0385,47.5,0.33,-0.9931,8892.0,9200.0,0.0346,86.0,1.0,-0.9884
NYAM-NYAM,2226C - SANDWICH BISCUIT 100-150G,2226 - SANDWICH BISCUIT,BISC & CONFECTIONARY,3.0,,,1.5,,,73200.0,,,3.0,,
OREO,2226C - SANDWICH BISCUIT 100-150G,2226 - SANDWICH BISCUIT,BISC & CONFECTIONARY,1.25,1.25,0.0,1111.0,1299.33,0.1695,12459.0,12588.0,0.0104,1862.0,3088.0,0.6584
OVALTINE,2226C - SANDWICH BISCUIT 100-150G,2226 - SANDWICH BISCUIT,BISC & CONFECTIONARY,1.12,1.11,-0.0089,137.5,88.33,-0.3576,18725.0,18677.0,-0.0026,237.0,220.0,-0.0717
ROMA,2226C - SANDWICH BISCUIT 100-150G,2226 - SANDWICH BISCUIT,BISC & CONFECTIONARY,1.13,1.14,0.0088,436.0,687.33,0.5764,13716.0,13679.0,-0.0027,742.0,1730.0,1.3315
SERENA,2226C - SANDWICH BISCUIT 100-150G,2226 - SANDWICH BISCUIT,BISC & CONFECTIONARY,1.06,1.3,0.2264,115.0,142.0,0.2348,9623.0,12423.0,0.291,192.0,358.0,0.8646
SLAI O'LAI,2226C - SANDWICH BISCUIT 100-150G,2226 - SANDWICH BISCUIT,BISC & CONFECTIONARY,1.08,1.12,0.037,220.0,232.0,0.0545,9272.0,9850.0,0.0623,372.0,592.0,0.5914
HATARI,2226D - SANDWICH BISCUIT 160-229G,2226 - SANDWICH BISCUIT,BISC & CONFECTIONARY,1.04,1.05,0.0096,103.5,80.67,-0.2206,12510.0,12712.0,0.0161,177.0,211.0,0.1921
JULIE'S,2226D - SANDWICH BISCUIT 160-229G,2226 - SANDWICH BISCUIT,BISC & CONFECTIONARY,1.25,1.2,-0.04,2.0,5.0,1.5,44875.0,42027.0,-0.0635,4.0,13.0,2.25
KHONG GUAN,2226D - SANDWICH BISCUIT 160-229G,2226 - SANDWICH BISCUIT,BISC & CONFECTIONARY,1.11,1.13,0.018,221.0,174.67,-0.2096,15746.0,17038.0,0.0821,383.0,433.0,0.1305
MUNCHY'S,2226D - SANDWICH BISCUIT 160-229G,2226 - SANDWICH BISCUIT,BISC & CONFECTIONARY,1.29,1.3,0.0078,124.5,169.67,0.3628,42650.0,40604.0,-0.048,211.0,419.0,0.9858
ROMA,2226D - SANDWICH BISCUIT 160-229G,2226 - SANDWICH BISCUIT,BISC & CONFECTIONARY,1.14,1.14,0.0,333.0,306.67,-0.0791,14504.0,14380.0,-0.0085,592.0,778.0,0.3142
SLAI O'LAI,2226D - SANDWICH BISCUIT 160-229G,2226 - SANDWICH BISCUIT,BISC & CONFECTIONARY,1.02,1.06,0.0392,62.0,87.67,0.414,14055.0,14397.0,0.0243,119.0,226.0,0.8992
UNIBIS,2226D - SANDWICH BISCUIT 160-229G,2226 - SANDWICH BISCUIT,BISC & CONFECTIONARY,1.11,1.06,-0.045,66.5,23.67,-0.6441,10408.0,9983.0,-0.0408,122.0,67.0,-0.4508
BETTER,2226E - SANDWICH BISCUIT 230-500G,2226 - SANDWICH BISCUIT,BISC & CONFECTIONARY,1.0,,,0.5,,,28400.0,,,1.0,,
OREO,2226E - SANDWICH BISCUIT 230-500G,2226 - SANDWICH BISCUIT,BISC & CONFECTIONARY,1.81,1.68,-0.0718,108.5,9.33,-0.914,51357.0,35250.0,-0.3136,179.0,20.0,-0.8883
ROMA,2226E - SANDWICH BISCUIT 230-500G,2226 - SANDWICH BISCUIT,BISC & CONFECTIONARY,1.6,,,2.5,,,45440.0,,,5.0,,
SUPERSTAR,2227A - WAFER BISCUIT PACK,2227 - WAFER BISCUIT,BISC & CONFECTIONARY,1.2,1.19,-0.0083,201.5,109.67,-0.4557,11353.0,11396.0,0.0038,347.0,279.0,-0.196
NABATI,2227B - WAFER BISCUIT 10-40G,2227 - WAFER BISCUIT,BISC & CONFECTIONARY,1.35,1.36,0.0074,10.0,15.0,0.5,10140.0,10264.0,0.0122,20.0,44.0,1.2
NUTELLA,2227B - WAFER BISCUIT 10-40G,2227 - WAFER BISCUIT,BISC & CONFECTIONARY,1.49,1.38,-0.0738,64.0,56.33,-0.1198,15818.0,14866.0,-0.0602,117.0,153.0,0.3077
GARUDA,2227C - WAFER BISCUIT 45-95G,2227 - WAFER BISCUIT,BISC & CONFECTIONARY,1.0,1.31,0.31,4.5,72.0,15.0,9100.0,12685.0,0.394,9.0,190.0,20.1111
NABATI,2227C - WAFER BISCUIT 45-95G,2227 - WAFER BISCUIT,BISC & CONFECTIONARY,1.0,1.0,0.0,1.5,1.67,0.1133,5967.0,5900.0,-0.0112,3.0,5.0,0.6667
RICHEESE,2227C - WAFER BISCUIT 45-95G,2227 - WAFER BISCUIT,BISC & CONFECTIONARY,1.24,1.19,-0.0403,93.0,97.67,0.0502,8384.0,8208.0,-0.021,177.0,259.0,0.4633
TANGO,2227C - WAFER BISCUIT 45-95G,2227 - WAFER BISCUIT,BISC & CONFECTIONARY,1.41,1.29,-0.0851,152.0,148.33,-0.0241,11582.0,10729.0,-0.0736,285.0,401.0,0.407
